neuron,concept,concept_id,metric
292,leonberg,n02111129,0.9618
293,black swan,n01860187,0.9691
294,carbonara,n07831146,0.9612
295,cello,n02992211,0.9574
296,desk,n03179701,0.9530
297,monarch,n02279972,0.9362
298,snow leopard,n02128757,0.9734
299,jigsaw puzzle,n03598930,0.9471
300,japanese spaniel,n02085782,0.9513
301,zebra,n02391049,0.9672
302,pitcher,n03950228,0.9537
303,shoji,n04201297,0.9841
304,cliff dwelling,n03042490,0.9715
305,anemone fish,n02607072,0.9672
306,barometer,n02794156,0.9561
307,howler monkey,n02492660,0.9648
308,china cabinet,n03018349,0.9702
309,jaguar,n02128925,0.9644
310,agaric,n12998815,0.9913
311,gibbon,n02483362,0.9788
312,street sign,n06794110,0.9564
313,manhole cover,n03717622,0.9795
314,black-footed ferret,n02443484,0.9754
315,water tower,n04562935,0.9742
316,lemon,n07749582,0.9831
317,bernese mountain dog,n02107683,0.9621
318,garter snake,n01735189,0.9716
319,totem pole,n04458633,0.9481
320,crossword puzzle,n06785654,0.9687
321,warplane,n04552348,0.9784
322,toilet seat,n04447861,0.9440
323,kerry blue terrier,n02093859,0.9877
324,barracouta,n02514041,0.9744
325,monarch,n02279972,0.9664
326,lhasa,n02098413,0.9711
327,teapot,n04398044,0.9610
328,ostrich,n01518878,0.9822
329,police van,n03977966,0.9763
330,jinrikisha,n03599486,0.9773
331,guacamole,n07583066,0.9896
332,bassoon,n02804610,0.9749
333,australian terrier,n02096294,0.9726
334,mosque,n03788195,0.9564
335,disk brake,n03208938,0.9702
336,damselfly,n02268853,0.9630
337,lionfish,n02643566,0.9913
338,cup,n07930864,0.9738
339,cardoon,n07730033,0.9657
340,electric locomotive,n03272562,0.9714
341,ballplayer,n09835506,0.9890
342,manhole cover,n03717622,0.9452
343,thimble,n04423845,0.9433
344,spoonbill,n02006656,0.9704
345,guinea pig,n02364673,0.9532
346,hartebeest,n02422106,0.9760
347,weevil,n02177972,0.9584
348,jack-o'-lantern,n03590841,0.9659
349,totem pole,n04458633,0.9746
350,sturgeon,n02640242,0.9822
351,triumphal arch,n04486054,0.9663
352,boa constrictor,n01742172,0.9552
353,feather boa,n03325584,0.9872
354,mortarboard,n03787032,0.9718
355,prayer rug,n03998194,0.9706
356,washer,n04554684,0.9537
357,artichoke,n07718747,0.9637
358,scottish deerhound,n02092002,0.9626
359,cheetah,n02130308,0.9737
360,carpenter's kit,n02966687,0.9523
361,harvestman,n01770081,0.9764
362,snow leopard,n02128757,0.9532
363,pirate,n03947888,0.9462
364,dining table,n03201208,0.9618
365,dishrag,n03207743,0.9907
366,rapeseed,n11879895,0.9708
367,academic gown,n02669723,0.9717
368,binder,n02840245,0.9514
369,totem pole,n04458633,0.9431
370,coral reef,n09256479,0.9828
371,tarantula,n01774750,0.9843
372,white wolf,n02114548,0.9656
373,computer keyboard,n03085013,0.9749
374,ox,n02403003,0.9795
