neuron,concept,concept_id,metric
424,barbershop,n02791270,0.9987
425,barn,n02793495,0.9996
426,barometer,n02794156,0.9980
427,barrel,n02795169,0.9913
428,barrow,n02797295,0.9965
429,ballplayer,n09835506,0.9951
430,basketball,n02802426,0.9994
431,bassinet,n02804414,0.9954
432,bassoon,n02804610,0.9984
433,bathing cap,n02807133,0.9979
434,bath towel,n02808304,0.9967
435,tub,n04493381,0.9975
436,beach wagon,n02814533,0.9973
437,beacon,n02814860,0.9989
438,beaker,n02815834,0.9975
439,bearskin,n02817516,0.9977
440,beer bottle,n02823428,0.9917
441,beer glass,n02823750,0.9973
442,bell cote,n02825657,0.9989
443,bib,n02834397,0.9972
444,bicycle-built-for-two,n02835271,0.9992
445,bikini,n02837789,0.9989
446,binder,n02840245,0.9973
447,binoculars,n02841315,0.9976
448,birdhouse,n02843684,0.9975
449,boathouse,n02859443,0.9979
450,bobsled,n02860847,0.9990
451,bolo tie,n02865351,0.9922
452,bonnet,n02869837,0.9945
453,bookcase,n02870880,0.9986
454,bookshop,n02871525,0.9964
455,bottlecap,n02877765,0.9993
456,bow,n02879718,0.9882
457,bow tie,n02883205,0.9887
458,brass,n02892201,0.9981
459,brassiere,n02892767,0.9944
460,breakwater,n02894605,0.9914
461,cuirass,n03146219,0.9958
462,broom,n02906734,0.9976
463,bucket,n02909870,0.9844
464,buckle,n02910353,0.9908
465,bulletproof vest,n02916936,0.9985
466,bullet train,n02917067,0.9995
467,butcher shop,n02927161,0.9992
468,cab,n02930766,0.9979
469,caldron,n02939185,0.9958
470,candle,n02948072,0.9980
471,cannon,n02950826,0.9963
472,canoe,n02951358,0.9958
473,can opener,n02951585,0.9846
474,cardigan,n02963159,0.9962
475,car mirror,n02965783,0.9990
476,carousel,n02966193,0.9985
477,carpenter's kit,n02966687,0.9959
478,carton,n02971356,0.9946
479,sports car,n04285008,0.9947
480,cash machine,n02977058,0.9911
481,cassette,n02978881,0.9986
482,cassette player,n02979186,0.9954
483,castle,n02980441,0.9992
484,catamaran,n02981792,0.9992
485,cd player,n02988304,0.9946
486,cello,n02992211,0.9994
487,hand-held computer,n03485407,0.9934
488,chain,n02999410,0.9954
489,chainlink fence,n03000134,0.9975
490,chain mail,n03000247,0.9970
491,chain saw,n03000684,0.9917
492,chest,n03014705,0.9955
493,chiffonier,n03016953,0.9986
494,chime,n03017168,0.9932
495,china cabinet,n03018349,0.9988
496,christmas stocking,n03026506,0.9983
497,church,n03028079,0.9975
498,cinema,n03032252,0.9980
499,cleaver,n03041632,0.9868
500,cliff dwelling,n03042490,0.9999
501,abaya,n02667093,0.9942
502,clog,n03047690,0.9958
503,cocktail shaker,n03062245,0.9887
504,coffee mug,n03063599,0.9943
505,coffeepot,n03063689,0.9960
506,coil,n03065424,0.9922
507,combination lock,n03075370,0.9945
508,computer keyboard,n03085013,0.9980
509,confectionery,n03089624,0.9952
510,container ship,n03095699,0.9992
511,convertible,n03100240,0.9982
512,corkscrew,n03109150,0.9963
513,cornet,n03110669,0.9976
514,cowboy boot,n03124043,0.9934
515,sombrero,n04259630,0.9925
516,crib,n03131574,0.9976
517,crane,n03126707,0.9980
518,crash helmet,n03127747,0.9890
519,crate,n03127925,0.9954
520,crib,n03131574,0.9995
521,crock pot,n03133878,0.9988
522,croquet ball,n03134739,0.9961
523,crutch,n03141823,0.9917
524,cuirass,n03146219,0.9961
525,dam,n03160309,0.9993
526,desk,n03179701,0.9964
