neuron,concept,concept_id,metric
2015,berth,55,0.9313
2016,berth,55,0.9163
2017,throne room,331,0.9318
2018,butte,73,0.9241
2019,carrousel,83,0.9481
2020,"market, indoor",222,0.9614
2021,trench,340,0.9372
2022,ski slope,305,0.9505
2023,bamboo forest,36,0.9985
2024,butchers shop,72,0.9491
2025,"bow window, indoor",63,0.9062
2026,crosswalk,112,0.9402
2027,"volleyball court, outdoor",351,0.9366
2028,storage room,318,0.9179
2029,"bow window, indoor",63,0.9703
2030,tree house,339,0.9673
2031,banquet hall,38,0.9566
2032,dressing room,126,0.9691
2033,"gymnasium, indoor",168,0.9887
2034,tree house,339,0.9243
2035,hayfield,173,0.9244
2036,"arena, rodeo",17,0.9700
2037,closet,95,0.9799
2038,barndoor,41,0.9377
2039,"booth, indoor",61,0.8861
2040,ruin,292,0.9554
2041,home office,176,0.9505
2042,sandbox,294,0.9600
2043,rice paddy,287,0.9273
2044,"basketball court, indoor",44,0.9988
2045,nursery,240,0.9838
2046,bamboo forest,36,0.9427
2047,"stadium, baseball",312,0.9709
